conversation_id,title,lang_mix,flow_type,turn,user_message,assistant_reply,memory_role,memory_required,memory_remembered,prior_category,prior_city,expected_category,expected_city,actual_category,actual_city,used_previous_context,mode,machines_count,structural_pass,failures,conversation_pass,conversation_memory_score
en_greet_jaipur_excavator_refine,EN greet→excavator jaipur→delhi refine,english,greet_search_refine,1,hi,"Hello! Ready when you are — search, compare, booking, or support.",greeting,False,,,,,,,,False,greeting,0,True,,False,14.3
en_greet_jaipur_excavator_refine,EN greet→excavator jaipur→delhi refine,english,greet_search_refine,2,how are you,Thanks for introducing yourself. What would you like to do first?,none,False,,,,,,,,False,conversational,0,True,,False,14.3
en_greet_jaipur_excavator_refine,EN greet→excavator jaipur→delhi refine,english,greet_search_refine,3,i need a machine in jaipur,I'm not fully sure which machine you need. Can you tell me the work type and city?,establish_city,False,,,,,,,,False,unknown,0,,,False,14.3
en_greet_jaipur_excavator_refine,EN greet→excavator jaipur→delhi refine,english,greet_search_refine,4,excavator,"Good news — I found 4 Excavator. Check the details below, then use **Contact Owner** on the card to take the next step:

1. Caterpillar 320D (excavator), Caterpillar 320D, — Delhi, ₹12,000/day, available, rating 4.5/5
2. Hitachi ZX210 (excavator), Hitachi ZX210, — Gurgaon, ₹45,000/day, available, rating 4.5/5
3. Hyundai R210 (excavator), Hyundai R210, — Chennai, ₹12,000/day, available, rating 4.0/5
4. Komatsu PC210 (excavator), Komatsu PC210, — Pune, ₹24,000/day, available, rating 4.0/5",establish_category,True,True,,,excavator,jaipur,excavator,,True,search,4,False,city: got '' want 'jaipur',False,14.3
en_greet_jaipur_excavator_refine,EN greet→excavator jaipur→delhi refine,english,greet_search_refine,5,under 50000 per day,"Good news — I found 5 machines under ₹50000. Check the details below, then use **Contact Owner** on the card to take the next step:

1. EPIROC AIR ROC D-35(LM-100) Pneumatic (CRAWLER DRILL), EPIROC AIR ROC D-35(LM-100), — Jaipur, ₹400/daily, available, used 2022, rating not available
2. JCB 432 ZX Heavy Duty (WHEEL LOADER 3 T), JCB 432 ZX, — Jaipur, ₹500/daily, available, used 2017, rating not available
3. AMMANN APOLLO KP-1200 KLM Vibratory Screed (KERB PAVER), AMMANN APOLLO KP-1200 KLM, — Jaipur, ₹600/daily, available, used 2018, rating not available
4. TEREX CHIEFTAIN 1700-3D Crawler Mounted (MOBILE CRUSHER SCREEN CROWLER TYPE), TEREX CHIEFTAIN 1700-3D, — Jaipur, ₹700/daily, available, used 2019, rating not available
5. Crawler (Unknown), — Kota, ₹3,000/daily, available, used 2021, rating not available",refine_budget,True,False,excavator,,excavator,jaipur,,,True,search,5,False,category: got '' want 'excavator' | city: got '' want 'jaipur' | context lost — category: got '' expected 'excavator' | context lost — city: got '' expected 'jaipur',False,14.3
en_greet_jaipur_excavator_refine,EN greet→excavator jaipur→delhi refine,english,greet_search_refine,6,show cheaper options,"Lower-priced options for Crawler Drill in Jaipur under ₹37500:

1. EPIROC AIR ROC D-35(LM-100) Pneumatic — ₹400/daily, Jaipur",refine_cheaper,True,False,excavator,,excavator,jaipur,,,False,cheaper_options,1,False,category: got '' want 'excavator' | city: got '' want 'jaipur' | context lost — category: got '' expected 'excavator' | context lost — city: got '' expected 'jaipur',False,14.3
en_greet_jaipur_excavator_refine,EN greet→excavator jaipur→delhi refine,english,greet_search_refine,7,higher budget me kya option hai,"Clarify kar dein kya chahiye? Machines, rent/buy ya support me help kar sakta hoon.",refine_higher_budget,True,False,excavator,,excavator,jaipur,,,False,clarification,0,False,category: got '' want 'excavator' | city: got '' want 'jaipur' | context lost — category: got '' expected 'excavator' | context lost — city: got '' expected 'jaipur',False,14.3
en_greet_jaipur_excavator_refine,EN greet→excavator jaipur→delhi refine,english,greet_search_refine,8,same in delhi,"I am not fully sure yet. Can you tell me what you need — machine search, booking help, or support?",city_switch,True,False,excavator,,excavator,delhi,,,False,image_clarification,0,False,category: got '' want 'excavator' | city: got '' want 'delhi' | city switch lost category: got '' expected 'excavator' | city switch failed: got '' expected 'delhi',False,14.3
en_greet_jaipur_excavator_refine,EN greet→excavator jaipur→delhi refine,english,greet_search_refine,9,with operator included,I'm not fully sure which machine you need. Can you tell me the work type and city?,operator,True,False,excavator,,excavator,delhi,,,False,clarification,0,False,category: got '' want 'excavator' | city: got '' want 'delhi' | context lost — category: got '' expected 'excavator' | context lost — city: got '' expected 'delhi',False,14.3
en_greet_jaipur_excavator_refine,EN greet→excavator jaipur→delhi refine,english,greet_search_refine,10,jcb brand only,"JCB appears in these categories: backhoe loader, road roller, telehandler.",brand_filter,True,False,excavator,,excavator,delhi,,,False,brand_inventory,0,False,category: got '' want 'excavator' | city: got '' want 'delhi' | context lost — category: got '' expected 'excavator' | context lost — city: got '' expected 'delhi',False,14.3
en_greet_jaipur_excavator_refine,EN greet→excavator jaipur→delhi refine,english,greet_search_refine,11,thanks that helps,"I am not fully sure yet. Can you tell me what you need — machine search, booking help, or support?",thanks,False,,excavator,,,,,,False,support,0,True,,False,14.3
en_greet_jaipur_excavator_refine,EN greet→excavator jaipur→delhi refine,english,greet_search_refine,12,how does payment work for booking,I can help with that. Please share your booking or order ID.,support,False,,excavator,,,,,,False,refund_return,0,True,,False,14.3
en_greet_delhi_excavator_refine,EN greet→excavator delhi→mumbai refine,english,greet_search_refine,1,hi,"Hello! I can help you search machines, compare options, rent or buy, and handle support on InfraForge.",greeting,False,,,,,,,,False,greeting,0,True,,False,14.3
